"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"opuD_3","","Glycine betaine transporter OpuD","6","6","1","1","258","","","","1622","1622","1622","AR465_00407","M48_02870","NRS1_02532","P10_00904","R50_02532","V521_02905"
"rpsZ","","30S ribosomal protein S14 type Z","6","6","1","1","3160","","","","185","185","185","AR465_00034","M48_02477","NRS1_02160","P10_01275","R50_02160","V521_02516"
"group_1924","","hypothetical protein","6","6","1","1","486","","","","248","248","248","AR465_00980","M48_00527","NRS1_00394","P10_00358","R50_00394","V521_00565"
"group_1925","","hypothetical protein","6","6","1","1","2585","","","","161","161","161","AR465_01432","M48_01896","NRS1_01884","P10_01677","R50_01884","V521_01947"
"group_1926","","Acid shock protein","6","6","1","1","21","","","","422","422","422","AR465_00180","M48_02623","NRS1_02306","P10_01130","R50_02306","V521_02662"
"nrdI","","Protein NrdI","6","6","1","1","1552","","","","398","398","398","AR465_01227","M48_00783","NRS1_00646","P10_00111","R50_00646","V521_00823"
"group_1928","","hypothetical protein","6","6","1","1","397","","","","365","365","365","AR465_01077","M48_00624","NRS1_00490","P10_00261","R50_00490","V521_00663"
"group_1929","","putative N-acetyltransferase","6","6","1","1","3488","","","","440","440","440","AR465_02159","M48_01157","NRS1_01087","P10_02468","R50_01087","V521_01206"
"hxlB","","3-hexulose-6-phosphate isomerase","6","6","1","1","403","","","","332","548","512","AR465_01072","M48_00619","NRS1_00485","P10_00266","R50_00485","V521_00657"
"group_1930","","Gluconeogenesis factor","6","6","1","1","1590","","","","995","995","995","AR465_01264","M48_00820","NRS1_00682","P10_00075","R50_00682","V521_00859"
"rpsF","","30S ribosomal protein S6","6","6","1","1","2733","","","","296","296","296","AR465_00861","M48_00404","NRS1_00283","P10_00453","R50_00283","V521_00442"
"group_1932","","hypothetical protein","6","6","1","1","1244","","","","293","293","293","AR465_02611","M48_02322","NRS1_02019","P10_01486","R50_02019","V521_02365"
"group_1933","","hypothetical protein","6","6","1","1","2633","","","","557","557","557","AR465_01381","M48_02015","NRS1_01941","P10_01626","R50_01941","V521_02065"
"IMPDH","","Inosine-5'-monophosphate dehydrogenase","6","6","1","1","2045","","","","1298","1298","1298","AR465_01638","M48_01687","NRS1_01686","P10_01882","R50_01686","V521_01738"
"group_1935","","hypothetical protein","6","6","1","1","1200","","","","671","671","671","AR465_02654","M48_02365","NRS1_02062","P10_01443","R50_02062","V521_02408"
"hflX","","GTPase HflX","6","6","1","1","3622","","","","1238","1238","1238","AR465_02030","M48_01287","NRS1_01216","P10_02338","R50_01216","V521_01338"
"group_1937","","putative transcriptional regulatory protein","6","6","1","1","1491","","","","716","716","716","AR465_01167","M48_00723","NRS1_00585","P10_00171","R50_00585","V521_00763"
"group_1938","","hypothetical protein","6","6","1","1","113","","","","422","422","422","AR465_00266","M48_02710","NRS1_02394","P10_01044","R50_02394","V521_02751"
"group_1939","","hypothetical protein","6","6","1","1","3352","","","","215","215","215","AR465_02296","M48_01025","NRS1_00953","P10_02605","R50_00953","V521_01070"
"mnhC1","","Na(+)/H(+) antiporter subunit C1","6","6","1","1","3263","","","","341","341","341","AR465_02383","M48_00935","NRS1_00865","P10_02692","R50_00865","V521_00979"
"argR_1","","Arginine repressor","6","6","1","1","2221","","","","452","452","452","AR465_01815","M48_01507","NRS1_01516","P10_02058","R50_01516","V521_01556"
"rpsG","","30S ribosomal protein S7","6","6","1","1","428","","","","470","470","470","AR465_01047","M48_00594","NRS1_00460","P10_00291","R50_00460","V521_00632"
"yclM","","Aspartokinase 3","6","6","1","1","3649","","","","1382","1382","1382","AR465_02005","M48_01318","NRS1_01244","P10_02314","R50_01244","V521_01364"
"rplN","","50S ribosomal protein L14","6","6","1","1","3157","","","","368","368","368","AR465_00037","M48_02480","NRS1_02163","P10_01272","R50_02163","V521_02519"
"queE","","7-carboxy-7-deazaguanine synthase","6","6","1","1","1533","","","","713","713","713","AR465_01208","M48_00764","NRS1_00627","P10_00130","R50_00627","V521_00804"
"betA","","Oxygen-dependent choline dehydrogenase","6","6","1","1","262","","","","1709","1709","1709","AR465_00404","M48_02867","NRS1_02528","P10_00907","R50_02528","V521_02902"
"rpsI","","30S ribosomal protein S9","6","6","1","1","3187","","","","398","398","398","AR465_00014","M48_02457","NRS1_02140","P10_01295","R50_02140","V521_02496"
"clpP_1","","ATP-dependent Clp protease proteolytic subunit","6","6","1","1","1592","","","","587","587","587","AR465_01267","M48_00823","NRS1_00685","P10_00072","R50_00685","V521_00862"
"engB","","putative GTP-binding protein EngB","6","6","1","1","2076","","","","590","590","590","AR465_01669","M48_01655","NRS1_01655","P10_01912","R50_01655","V521_01705"
"pdxK","","Pyridoxine kinase","6","6","1","1","394","","","","650","830","800","AR465_01080","M48_00627","NRS1_00493","P10_00258","R50_00493","V521_00666"
"dtpT","","Di-/tripeptide transporter","6","6","1","1","1549","","","","1505","1505","1505","AR465_01224","M48_00780","NRS1_00643","P10_00114","R50_00643","V521_00820"
"rplD","","50S ribosomal protein L4","6","6","1","1","3148","","","","623","623","623","AR465_00046","M48_02489","NRS1_02172","P10_01263","R50_02172","V521_02528"
"luxS","","S-ribosylhomocysteine lyase","6","6","1","1","1197","","","","470","470","470","AR465_02657","M48_02368","NRS1_02066","P10_01440","R50_02066","V521_02411"
"group_1953","","N-carbamoylsarcosine amidase","6","6","1","1","691","","","","560","560","560","AR465_00439","M48_02903","NRS1_02563","P10_00872","R50_02563","V521_02937"
"group_1954","","Putative universal stress protein","6","6","1","1","2040","","","","500","500","500","AR465_01633","M48_01692","NRS1_01691","P10_01877","R50_01691","V521_01743"
"gluD","","NAD-specific glutamate dehydrogenase","6","6","1","1","3271","","","","1244","1244","1244","AR465_02375","M48_00943","NRS1_00873","P10_02684","R50_00873","V521_00987"
"patA","","Peptidoglycan O-acetyltransferase","6","6","1","1","3246","","","","1214","1214","1214","AR465_02400","M48_00918","NRS1_00848","P10_02709","R50_00848","V521_00962"
"mhqR","","HTH-type transcriptional regulator MhqR","6","6","1","1","167","","","","434","434","434","AR465_00312","M48_02751","NRS1_02438","P10_01000","R50_02438","V521_02790"
"dnaJ","","Chaperone protein DnaJ","6","6","1","1","2164","","","","1139","1139","1139","AR465_01758","M48_01564","NRS1_01573","P10_02001","R50_01573","V521_01613"
"atpE","","ATP synthase subunit c","6","6","1","1","1224","","","","212","212","212","AR465_02631","M48_02342","NRS1_02039","P10_01466","R50_02039","V521_02385"
"hssR","","Heme response regulator HssR","6","6","1","1","3037","","","","674","674","674","AR465_00155","M48_02599","NRS1_02282","P10_01154","R50_02282","V521_02638"
"group_1961","","hypothetical protein","6","6","1","1","3422","","","","191","191","191","AR465_02227","M48_01092","NRS1_01021","P10_02536","R50_01021","V521_01139"
"pyrH","","Uridylate kinase","6","6","1","1","3573","","","","722","722","722","AR465_02077","M48_01240","NRS1_01169","P10_02385","R50_01169","V521_01290"
"group_1963","","hypothetical protein","6","6","1","1","2547","","","","365","365","365","AR465_01498","M48_01829","NRS1_01818","P10_01743","R50_01818","V521_01880"
"group_1964","","hypothetical protein","6","6","1","1","28","","","","452","452","452","AR465_00186","M48_02630","NRS1_02312","P10_01124","R50_02312","V521_02669"
"veg","","Protein Veg","6","6","1","1","480","","","","263","263","263","AR465_00986","M48_00533","NRS1_00400","P10_00352","R50_00400","V521_00571"
"bceA_1","","Bacitracin export ATP-binding protein BceA","6","6","1","1","1483","","","","761","761","761","AR465_01159","M48_00715","NRS1_00577","P10_00179","R50_00577","V521_00755"
"femB","","Aminoacyltransferase FemB","6","6","1","1","3695","","","","1259","1259","1259","AR465_01959","M48_01364","NRS1_01290","P10_02267","R50_01290","V521_01411"
"dnaN","","Beta sliding clamp","6","6","1","1","769","","","","1133","1133","1133","AR465_00508","M48_00002","NRS1_02634","P10_00804","R50_02634","V521_00002"
"group_1969","","hypothetical protein","6","6","1","1","3074","","","","506","506","506","AR465_00120","M48_02562","NRS1_02246","P10_01189","R50_02246","V521_02602"
"group_197","","hypothetical protein","6","6","1","1","1571","","","","455","641","610","AR465_01245","M48_00801","NRS1_00664","P10_00093","R50_00664","V521_00841"
"gatB_1","","PTS system galactitol-specific EIIB component","6","6","1","1","2864","","","","278","278","278","AR465_00744","M48_00213","NRS1_00166","P10_00569","R50_00166","V521_00254"
"isdF","","putative heme-iron transport system permease protein IsdF","6","6","1","1","3446","","","","968","968","968","AR465_02203","M48_01116","NRS1_01045","P10_02512","R50_01045","V521_01163"
"cspA_1","","Cold shock protein CspA","6","6","1","1","1634","","","","200","200","200","AR465_02520","M48_00850","NRS1_00731","P10_00048","R50_00731","V521_00888"
"mgrA","","HTH-type transcriptional regulator MgrA","6","6","1","1","1509","","","","443","443","443","AR465_01184","M48_00740","NRS1_00603","P10_00154","R50_00603","V521_00780"
"opuD_1","","Glycine betaine transporter OpuD","6","6","1","1","3670","","","","1646","1646","1646","AR465_01984","M48_01339","NRS1_01265","P10_02292","R50_01265","V521_01385"
"rpsR","","30S ribosomal protein S18","6","6","1","1","2731","","","","242","242","242","AR465_00863","M48_00406","NRS1_00285","P10_00451","R50_00285","V521_00444"
"ymdB","","2',3'-cyclic-nucleotide 2'-phosphodiesterase","6","6","1","1","3603","","","","797","797","797","AR465_02047","M48_01270","NRS1_01199","P10_02355","R50_01199","V521_01320"
"group_1981","","hypothetical protein","6","6","1","1","3339","","","","218","218","218","AR465_02307","M48_01012","NRS1_00942","P10_02616","R50_00942","V521_01057"
"cynR","","HTH-type transcriptional regulator CynR","6","6","1","1","191","","","","863","863","863","AR465_00335","M48_02775","NRS1_02461","P10_00977","R50_02461","V521_02813"
"xseA","","Exodeoxyribonuclease 7 large subunit","6","6","1","1","2218","","","","1337","1337","1337","AR465_01812","M48_01510","NRS1_01519","P10_02055","R50_01519","V521_01559"
"group_1984","","hypothetical protein","6","6","1","1","1925","","","","116","116","116","AR465_01891","M48_01433","NRS1_01373","P10_02200","R50_01373","V521_01481"
"group_1985","","Putative transport protein","6","6","1","1","3325","","","","1085","1085","1085","AR465_02323","M48_00996","NRS1_00926","P10_02632","R50_00926","V521_01041"
"coaBC","","Coenzyme A biosynthesis bifunctional protein CoaBC","6","6","1","1","3524","","","","1199","1199","1199","AR465_02124","M48_01193","NRS1_01122","P10_02433","R50_01122","V521_01242"
"group_1987","","hypothetical protein","6","6","1","1","2117","","","","146","146","146","AR465_01714","M48_01609","NRS1_01616","P10_01957","R50_01616","V521_01659"
"ptpB","","Low molecular weight protein-tyrosine-phosphatase PtpB","6","6","1","1","1217","","","","419","419","419","AR465_02638","M48_02349","NRS1_02046","P10_01459","R50_02046","V521_02392"
"frr","","Ribosome-recycling factor","6","6","1","1","3574","","","","554","554","554","AR465_02076","M48_01241","NRS1_01170","P10_02384","R50_01170","V521_01291"
"est_2","","Carboxylesterase","6","6","1","1","1603","","","","740","740","740","AR465_01278","M48_00834","NRS1_00696","P10_00061","R50_00696","V521_00873"
"ndk","","Nucleoside diphosphate kinase","6","6","1","1","1948","","","","449","449","449","AR465_01868","M48_01456","NRS1_01396","P10_02177","R50_01396","V521_01504"
"ftsL","","Cell division protein FtsL","6","6","1","1","3492","","","","401","401","401","AR465_02155","M48_01161","NRS1_01091","P10_02464","R50_01091","V521_01210"
"ispE","","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","6","6","1","1","479","","","","848","848","848","AR465_00987","M48_00534","NRS1_00401","P10_00351","R50_00401","V521_00572"
"sodM","","Superoxide dismutase [Mn/Fe] 2","6","6","1","1","938","","","","599","599","599","AR465_00631","M48_00106","NRS1_00061","P10_00681","R50_00061","V521_00148"
"group_1994","","hypothetical protein","6","6","1","1","1545","","","","1514","1514","1514","AR465_01220","M48_00776","NRS1_00639","P10_00118","R50_00639","V521_00816"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","6","6","1","1","1233","","","","440","440","440","AR465_02622","M48_02333","NRS1_02030","P10_01475","R50_02030","V521_02376"
"nos","","Nitric oxide synthase oxygenase","6","6","1","1","2649","","","","1076","1076","1076","AR465_01393","M48_02003","NRS1_01923","P10_01638","R50_01923","V521_02053"
"atl_3","","Bifunctional autolysin","6","6","1","1","3093","","","","776","776","776","AR465_00101","M48_02543","NRS1_02227","P10_01208","R50_02227","V521_02583"
"efp","","Elongation factor P","6","6","1","1","2213","","","","557","557","557","AR465_01807","M48_01515","NRS1_01524","P10_02050","R50_01524","V521_01564"
"mqo2","","putative malate:quinone oxidoreductase 2","6","6","1","1","266","","","","1496","1496","1496","AR465_00400","M48_02863","NRS1_02524","P10_00911","R50_02524","V521_02898"
"fba","","Fructose-bisphosphate aldolase","6","6","1","1","1206","","","","860","860","860","AR465_02648","M48_02359","NRS1_02056","P10_01449","R50_02056","V521_02402"
"glpF","","Glycerol uptake facilitator protein","6","6","1","1","3614","","","","818","818","818","AR465_02037","M48_01280","NRS1_01209","P10_02345","R50_01209","V521_01331"
"yutF","","Acid sugar phosphatase","6","6","1","1","3242","","","","779","779","779","AR465_02404","M48_00914","NRS1_00844","P10_02713","R50_00844","V521_00958"
"group_2003","","hypothetical protein","6","6","1","1","3482","","","","227","227","227","AR465_02166","M48_01150","NRS1_01080","P10_02475","R50_01080","V521_01199"
"rplX","","50S ribosomal protein L24","6","6","1","1","3158","","","","317","317","317","AR465_00036","M48_02479","NRS1_02162","P10_01273","R50_02162","V521_02518"
"infC","","Translation initiation factor IF-3","6","6","1","1","2069","","","","560","560","560","AR465_01662","M48_01662","NRS1_01662","P10_01905","R50_01662","V521_01712"
"sdhA","","L-serine dehydratase, alpha chain","6","6","1","1","179","","","","899","899","899","AR465_00323","M48_02763","NRS1_02449","P10_00989","R50_02449","V521_02801"
"group_2007","","hypothetical protein","6","6","1","1","3024","","","","431","431","431","AR465_00167","M48_02611","NRS1_02294","P10_01142","R50_02294","V521_02650"
"group_2008","","hypothetical protein","6","6","1","1","1188","","","","230","230","230","AR465_02665","M48_02378","NRS1_02074","P10_01432","R50_02074","V521_02419"
"group_2009","","hypothetical protein","6","6","1","1","3086","","","","737","737","737","AR465_00108","M48_02550","NRS1_02234","P10_01201","R50_02234","V521_02590"
"tarI1","","Ribitol-5-phosphate cytidylyltransferase 1","6","6","1","1","2873","","","","716","716","716","AR465_00753","M48_00222","NRS1_00175","P10_00560","R50_00175","V521_00263"
"group_2011","","hypothetical protein","6","6","1","1","162","","","","770","770","770","AR465_00307","M48_02746","NRS1_02433","P10_01005","R50_02433","V521_02785"
"rplC","","50S ribosomal protein L3","6","6","1","1","3147","","","","662","662","662","AR465_00047","M48_02490","NRS1_02173","P10_01262","R50_02173","V521_02529"
"ecfT_1","","Energy-coupling factor transporter transmembrane protein EcfT","6","6","1","1","3388","","","","806","806","806","AR465_02260","M48_01060","NRS1_00988","P10_02569","R50_00988","V521_01106"
"prfA","","Peptide chain release factor 1","6","6","1","1","1214","","","","1076","1076","1076","AR465_02641","M48_02352","NRS1_02049","P10_01456","R50_02049","V521_02395"
